category,field,authority,value,unit
stall_pct,branch_resolving,stall ratio / total warp latency,0.8599229276586249,% of active-warp cycles
stall_pct,dispatch_stall,stall ratio / total warp latency,0.5372842478807595,% of active-warp cycles
stall_pct,drain,stall ratio / total warp latency,4.047338967086701e-05,% of active-warp cycles
stall_pct,lg_throttle,stall ratio / total warp latency,0.47447750976621866,% of active-warp cycles
stall_pct,long_scoreboard,stall ratio / total warp latency,18.97506324222931,% of active-warp cycles
stall_pct,math_pipe_throttle,stall ratio / total warp latency,0.23424529182402729,% of active-warp cycles
stall_pct,membar,stall ratio / total warp latency,0.1021661812807051,% of active-warp cycles
stall_pct,mio_throttle,stall ratio / total warp latency,2.198339059718366,% of active-warp cycles
stall_pct,misc,stall ratio / total warp latency,0.03309349407721121,% of active-warp cycles
stall_pct,no_instruction,stall ratio / total warp latency,0.952604638340067,% of active-warp cycles
stall_pct,not_selected,stall ratio / total warp latency,0.21198996089296057,% of active-warp cycles
stall_pct,selected,stall ratio / total warp latency,15.966271660383448,% of active-warp cycles
stall_pct,short_scoreboard,stall ratio / total warp latency,9.756924379970094,% of active-warp cycles
stall_pct,sleeping,stall ratio / total warp latency,14.765589113839459,% of active-warp cycles
stall_pct,tex_throttle,stall ratio / total warp latency,0.0,% of active-warp cycles
stall_pct,wait,stall ratio / total warp latency,29.21552787066966,% of active-warp cycles
binary,actual_stack_frame_bytes_per_thread,cuobjdump/ELF,488,B/thread
binary,static_spill_refill_instructions,ELF SpillRefill + SASS,190,static inst
binary,static_spill_store_instructions,ELF SpillRefill + SASS,68,static inst
binary,static_spill_refill_load_instructions,ELF SpillRefill + SASS,122,static inst
